	date	time	speaker	text
34	July 14th	2:02:33 AM	AshleyReyes1	yeaaahh
35	July 14th	2:02:42 AM	AshleyReyes1	thank you
36	July 14th	2:02:46 AM	mahoonie    	Thank you bb
37	July 20th	2:02:50 AM	AshleyReyes1	:heart:July 20th
38	July 20th	7:23:04 AM	mahoonie    	Heyy
39	July 20th	7:23:14 AM	mahoonie    	How are you doing?
40	July 20th	7:24:33 AM	AshleyReyes1	hi
41	July 20th	7:24:37 AM	AshleyReyes1	good, you?
42	July 20th	7:24:49 AM	mahoonie    	Yep, good
43	July 20th	7:25:06 AM	AshleyReyes1	cool
44	July 20th	7:25:33 AM	mahoonie    	You think we could have another moment tomorrow?
45	July 20th	7:26:03 AM	AshleyReyes1	yes
46	July 20th	7:26:18 AM	mahoonie    	Cool
47	July 20th	7:26:51 AM	AshleyReyes1	Why not today?
48	July 20th	7:27:17 AM	mahoonie    	You can’t wait. I like that
49	July 20th	7:28:11 AM	AshleyReyes1	hehe
50	July 20th	7:29:35 AM	mahoonie    	Gotta work...
51	July 20th	7:30:24 AM	AshleyReyes1	yes
52	July 20th	7:30:45 AM	AshleyReyes1	see you tomorrow
53	July 20th	7:31:08 AM	mahoonie    	I can’t wait either
54	July 20th	7:31:47 AM	mahoonie    	Wait, when are you here?
55	July 20th	7:41:29 AM	AshleyReyes1	tomorrow
56	July 21st	7:41:37 AM	AshleyReyes1	at the same timeJuly 21st
57	July 21st	7:41:21 AM	mahoonie    	Heyy
58	July 21st	7:41:38 AM	AshleyReyes1	hi
59	July 21st	7:42:08 AM	mahoonie    	How are you?
60	July 21st	7:45:16 AM	AshleyReyes1	good, you?
61	July 21st	7:45:43 AM	mahoonie    	Good... how was your day?
62	July 21st	7:47:00 AM	AshleyReyes1	good too
63	July 21st	7:47:01 AM	AshleyReyes1	ank you
64	July 21st	7:48:05 AM	mahoonie    	Yeah, pretty good
65	July 21st	7:54:53 AM	mahoonie    	Wanna cum for me in c2c?
66	July 21st	7:57:57 AM	AshleyReyes1	yes
67	July 21st	8:03:06 AM	AshleyReyes1	hi
68	July 21st	8:03:13 AM	AshleyReyes1	i can't see you
69	July 21st	8:04:14 AM	AshleyReyes1	soo
70	July 21st	8:04:56 AM	mahoonie    	Shit internet
71	July 21st	8:05:02 AM	AshleyReyes1	yes
72	July 21st	8:05:04 AM	mahoonie    	I’ll try later
73	July 21st	8:05:09 AM	AshleyReyes1	yes
74	July 21st	12:48:10 PM	mahoonie    	Hey
75	July 21st	12:52:38 PM	mahoonie    	No
76	July 28th	12:52:43 PM	mahoonie    	Why?July 28th
77	July 28th	6:21:33 AM	mahoonie    	Omg you’re back!
78	July 28th	6:22:02 AM	AshleyReyes1	hi
79	July 28th	6:22:04 AM	AshleyReyes1	yeah
80	July 28th	6:22:44 AM	mahoonie    	What a relief
81	July 28th	6:22:59 AM	mahoonie    	Thought I’d never see you again
82	July 28th	6:23:02 AM	AshleyReyes1	heheh
83	July 28th	6:23:10 AM	AshleyReyes1	but I'm here
84	July 28th	6:23:16 AM	mahoonie    	How was vacation
85	July 28th	6:24:51 AM	AshleyReyes1	very good
86	July 28th	6:24:53 AM	AshleyReyes1	thank you
87	July 28th	6:25:03 AM	mahoonie    	Where did you go?
88	July 28th	6:25:53 AM	AshleyReyes1	I'm heree
89	July 28th	6:26:31 AM	mahoonie    	Like for vacation, where did you spend your vacation?
90	July 28th	6:27:09 AM	AshleyReyes1	at home, but I walked a lot and did a lot of things, and what did you do?
91	July 28th	6:28:19 AM	mahoonie    	I worked mainly
92	July 28th	6:28:29 AM	mahoonie    	But I’m visiting my family now
93	July 28th	6:28:36 AM	mahoonie    	My sister got married
94	July 28th	6:47:02 AM	AshleyReyes1	cool
95	July 28th	6:48:52 AM	mahoonie    	What kind of music do you like?
96	July 28th	6:49:51 AM	mahoonie    	I’m trying to figure out what song to recommend
97	July 28th	6:50:08 AM	AshleyReyes1	various, mostly rock or indie
98	July 28th	6:50:10 AM	AshleyReyes1	and you?
99	July 28th	6:50:24 AM	mahoonie    	Electronic
100	July 28th	6:51:23 AM	AshleyReyes1	cool
101	July 28th	6:55:05 AM	mahoonie    	My favorite rock song is kryptonite, do you know that one?
102	July 28th	6:55:40 AM	AshleyReyes1	no
103	July 28th	6:55:58 AM	mahoonie    	Check it
104	July 28th	6:56:24 AM	mahoonie    	You don’t have to kill this one
105	July 28th	6:56:34 AM	AshleyReyes1	I need the name of the song and the artist
106	July 28th	6:57:00 AM	mahoonie    	Kryptonite - 3 doors down
107	July 28th	6:57:39 AM	AshleyReyes1	okay
108	July 28th	6:59:18 AM	AshleyReyes1	now the song will end and I'll turn on
109	July 28th	6:59:47 AM	mahoonie    	Yeah, it’s not nice to kill a song
110	July 28th	7:00:21 AM	AshleyReyes1	thanks
111	July 28th	7:01:30 AM	mahoonie    	What happened?
112	July 28th	7:02:22 AM	AshleyReyes1	sorry i have a problem with the internet
113	July 28th	7:03:21 AM	AshleyReyes1	now i will try again
114	July 28th	7:05:16 AM	mahoonie    	Ok
115	July 28th	7:06:32 AM	AshleyReyes1	everything starts to freeze for me, I need to configure
116	July 28th	7:06:34 AM	AshleyReyes1	sorry
117	July 28th	7:06:39 AM	AshleyReyes1	maybe later
118	July 28th	7:07:01 AM	mahoonie    	Ok, you owe me a song
119	July 28th	7:07:09 AM	mahoonie    	What’s your favorite?
120	July 28th	7:07:22 AM	AshleyReyes1	what?
121	July 28th	7:07:37 AM	mahoonie    	Type of artichoke
122	July 28th	7:07:42 AM	mahoonie    	Song
123	July 28th	7:12:26 AM	AshleyReyes1	there are a lot of them
124	July 28th	7:12:43 AM	mahoonie    	Give me one, the first that comes to mind
125	July 28th	7:13:21 AM	AshleyReyes1	BMTH - go to hell for hevean sake
126	July 28th	7:13:32 AM	AshleyReyes1	heven
127	July 28th	7:13:48 AM	AshleyReyes1	heaven
128	July 28th	7:13:51 AM	AshleyReyes1	sooorry
129	July 28th	7:14:55 AM	mahoonie    	Listening
130	July 28th	7:15:20 AM	AshleyReyes1	are you listening now?
131	July 28th	7:15:25 AM	mahoonie    	Yep
132	July 28th	7:15:37 AM	mahoonie    	So much anger
133	July 28th	7:15:51 AM	AshleyReyes1	hahahah
134	July 28th	7:16:04 AM	AshleyReyes1	in about this genre I listen to everything
135	July 28th	7:16:44 AM	mahoonie    	Why you angry? life should be beautiful to you
136	July 28th	7:17:50 AM	AshleyReyes1	where did you get that I'm angry?
137	July 28th	7:18:09 AM	mahoonie    	Usually songs reflect what’s going inside
138	July 28th	7:18:52 AM	mahoonie    	Aren’t you?
139	July 28th	7:20:25 AM	AshleyReyes1	no
140	July 28th	7:21:47 AM	AshleyReyes1	from childhood I used to listen to heavy beautiful music
141	July 28th	7:23:45 AM	mahoonie    	Ok, so shouldn’t your adolescent rebellion stage get you to listen to like classical music or something?
142	July 28th	7:24:44 AM	AshleyReyes1	I really can't find your song, it's banned in my country lol
143	July 28th	7:24:58 AM	mahoonie    	What country is that?
144	July 28th	7:25:36 AM	AshleyReyes1	I can not call
145	July 28th	7:26:06 AM	mahoonie    	You can’t tell me which country you’re from?
146	July 28th	7:26:25 AM	AshleyReyes1	yes
147	July 28th	7:26:27 AM	mahoonie    	Also why would they ban this song? It’s a regular song
148	July 28th	7:26:35 AM	mahoonie    	Wow
149	July 28th	7:26:48 AM	mahoonie    	Now I like that song more
150	July 28th	7:26:55 AM	AshleyReyes1	I turn on via video, videos are prohibited
151	July 28th	7:27:03 AM	mahoonie    	Oh
152	July 28th	7:27:13 AM	AshleyReyes1	if I turn it on without video, then it ends there
153	July 28th	7:27:22 AM	mahoonie    	What about Spotify?
154	July 28th	7:27:25 AM	AshleyReyes1	I do not know why
155	July 28th	7:28:09 AM	AshleyReyes1	I've never done someone else's song for so long lol
156	July 28th	7:29:10 AM	mahoonie    	Reyes sounds Latin
157	July 28th	7:29:23 AM	mahoonie    	Like sun light right?
158	July 28th	7:29:32 AM	AshleyReyes1	what?
159	July 28th	7:29:40 AM	mahoonie    	Your last name
160	July 28th	7:29:43 AM	mahoonie    	Reyes
161	July 28th	7:29:50 AM	mahoonie    	Reyes1
162	July 28th	7:30:01 AM	mahoonie    	I assume 1 is not part of ti
163	July 28th	7:30:18 AM	AshleyReyes1	I do not understand what you mean
164	July 28th	7:30:21 AM	AshleyReyes1	sorry
165	July 28th	7:30:38 AM	mahoonie    	Your name is Ashley Reyes no?
166	July 28th	7:30:54 AM	mahoonie    	At least that’s the nickname you have here
167	July 28th	7:31:38 AM	AshleyReyes1	name - yes
168	July 28th	7:31:54 AM	mahoonie    	So last name is Reyes, right?
169	July 28th	7:32:08 AM	mahoonie    	Or is it your first name?
170	July 28th	7:32:48 AM	AshleyReyes1	this is a nickname
171	July 28th	7:33:01 AM	AshleyReyes1	my name is ashley yes
172	July 28th	7:33:22 AM	mahoonie    	So what does Reyes mean?
173	July 28th	7:33:28 AM	mahoonie    	I’m Jordan btw
174	July 28th	7:34:47 AM	AshleyReyes1	ntmu
175	July 28th	7:34:59 AM	AshleyReyes1	it's just a nickname
176	July 28th	7:35:19 AM	mahoonie    	Can you say what your native language is?
177	July 28th	7:36:11 AM	AshleyReyes1	why do you need it?
178	July 28th	7:36:25 AM	AshleyReyes1	we communicated well without it
179	July 28th	7:36:35 AM	AshleyReyes1	let's continue the same
180	July 28th	7:36:43 AM	mahoonie    	I’m soooo curious
181	July 28th	7:37:09 AM	AshleyReyes1	hahahah
182	July 28th	7:37:35 AM	mahoonie    	My family is Argentinian, so if it’s Spanish we can do that
183	July 28th	7:37:54 AM	AshleyReyes1	do what?
184	July 28th	7:37:59 AM	mahoonie    	Spanish
185	July 28th	7:38:48 AM	AshleyReyes1	we speak english well
186	July 28th	7:39:24 AM	mahoonie    	So it’s Spanish. I knew it! The most beautiful women are from Spanish speaking countries
187	July 28th	7:39:57 AM	AshleyReyes1	what? hahahah
188	July 28th	7:40:55 AM	AshleyReyes1	if you write to me in Spanish, I will ask you to switch to English because I do not know a single word
189	July 28th	7:41:06 AM	AshleyReyes1	but thanks for the compliment
190	July 28th	7:41:36 AM	mahoonie    	I tried
191	July 28th	7:42:26 AM	AshleyReyes1	me too
192	July 28th	7:42:32 AM	AshleyReyes1	hahahah
193	July 28th	7:42:43 AM	AshleyReyes1	it doesn't matter, really
194	July 28th	7:42:47 AM	mahoonie    	To learn Spanish?
195	July 28th	7:43:59 AM	AshleyReyes1	no
196	July 28th	7:45:00 AM	mahoonie    	What did you try?
197	July 28th	7:45:51 AM	AshleyReyes1	take you away from this topic
198	July 28th	7:46:00 AM	mahoonie    	Hahaha
199	July 28th	7:46:22 AM	mahoonie    	What do you want to talk about?
200	July 28th	8:44:46 AM	mahoonie    	I really want to have another session with you, but I can’t while I’m with my family
201	July 28th	8:45:04 AM	mahoonie    	Will you still be here next week, or the one after
202	July 28th	8:45:08 AM	mahoonie    	?
203	July 28th	8:48:56 AM	mahoonie    	Or will you run away again?
204	July 28th	8:49:36 AM	AshleyReyes1	i will be next week
205	July 28th	8:50:43 AM	mahoonie    	Good
206	July 28th	8:51:17 AM	mahoonie    	Say do you have any other way of communication? Maybe I can send you the song
207	July 28th	8:52:02 AM	AshleyReyes1	no, just here
208	July 28th	8:56:01 AM	mahoonie    	So what do you like to do, like in general?
209	July 28th	8:58:12 AM	AshleyReyes1	a lot of things, and you?
210	July 28th	8:58:35 AM	mahoonie    	I like to think
211	July 28th	8:59:06 AM	mahoonie    	I like my ideas when I think
212	July 28th	8:59:16 AM	mahoonie    	What do you like for example?
213	July 28th	9:03:15 AM	mahoonie    	Ok gotta go, but I still want an answer
214	August 2nd	10:03:21 AM	AshleyReyes1	I like walking, chatting with friends, helping animals, the environment, doing makeupAugust 2nd
215	August 2nd	7:26:36 AM	mahoonie    	Hello beautiful
216	August 2nd	7:26:47 AM	AshleyReyes1	hi
217	August 2nd	7:26:58 AM	mahoonie    	Hru?
218	August 2nd	7:27:16 AM	AshleyReyes1	good, you?
219	August 2nd	7:27:25 AM	mahoonie    	Pretty good
220	August 2nd	7:27:35 AM	mahoonie    	How’s your day going?
221	August 2nd	7:27:49 AM	AshleyReyes1	very good too
222	August 2nd	7:27:53 AM	AshleyReyes1	thanks
223	August 2nd	7:28:32 AM	mahoonie    	Say, when do you start tomorrow?
224	August 2nd	7:29:01 AM	AshleyReyes1	at the same time
225	August 2nd	7:29:14 AM	mahoonie    	When is that?
226	August 2nd	7:29:50 AM	AshleyReyes1	as today
227	August 2nd	7:30:06 AM	mahoonie    	When did you start today?
228	August 2nd	7:30:51 AM	AshleyReyes1	an hour and a half ago
229	August 2nd	7:31:06 AM	mahoonie    	Got it
230	August 2nd	7:32:32 AM	mahoonie    	Any chance you can start earlier?
231	August 2nd	7:32:42 AM	AshleyReyes1	no
232	August 2nd	7:33:10 AM	mahoonie    	Ok
233	August 2nd	10:53:59 AM	mahoonie    	You’re so beautiful why do you need makeup?
234	August 2nd	10:55:35 AM	AshleyReyes1	hi
235	August 2nd	10:55:37 AM	AshleyReyes1	ank you
236	August 2nd	10:55:40 AM	AshleyReyes1	thank*
237	August 2nd	10:56:19 AM	mahoonie    	It’s a real question
238	August 2nd	10:56:34 AM	AshleyReyes1	because I am a makeup artist
239	August 3rd	10:56:46 AM	AshleyReyes1	and i like to do itAugust 3rd
240	August 3rd	7:18:37 AM	mahoonie    	Hey Ashley
241	August 3rd	7:18:52 AM	AshleyReyes1	hi
242	August 3rd	7:19:24 AM	mahoonie    	How’s it going?
243	August 3rd	7:20:10 AM	AshleyReyes1	good, you?
244	August 3rd	7:20:40 AM	mahoonie    	Good
245	August 3rd	7:21:16 AM	mahoonie    	Do you want to cum for me in c2c?
246	August 3rd	7:23:44 AM	AshleyReyes1	I'm not Nude, do you remember?
247	August 3rd	7:24:00 AM	mahoonie    	Yes
248	August 3rd	7:24:16 AM	AshleyReyes1	soo
249	August 3rd	7:24:31 AM	AshleyReyes1	I'd like to see you cum
250	August 3rd	7:26:29 AM	mahoonie    	Will you play with yourself with clothes on?
251	August 3rd	7:26:42 AM	AshleyReyes1	yes
252	August 3rd	7:26:56 AM	mahoonie    	Underwear?
253	August 3rd	7:27:20 AM	AshleyReyes1	I have a bathing suit with me
254	August 3rd	7:27:28 AM	AshleyReyes1	;)
255	August 3rd	7:27:31 AM	mahoonie    	That’s great
256	August 3rd	7:29:41 AM	mahoonie    	1 minute
257	August 3rd	7:32:30 AM	AshleyReyes1	hi
258	August 3rd	7:32:38 AM	mahoonie    	Hey
259	August 3rd	7:33:00 AM	mahoonie    	Do you want to put the swimsuit on?
260	August 3rd	7:33:10 AM	AshleyReyes1	maybe
261	August 3rd	7:33:22 AM	mahoonie    	What does it take?
262	August 3rd	7:33:27 AM	AshleyReyes1	my panties are already on
263	August 3rd	7:33:40 AM	mahoonie    	Can I see?
264	August 3rd	7:33:47 AM	AshleyReyes1	I need to step back and put on my bra
265	August 3rd	7:33:49 AM	AshleyReyes1	yes
266	August 3rd	7:34:21 AM	mahoonie    	Beautiful!
267	August 3rd	7:34:30 AM	AshleyReyes1	thanks
268	August 3rd	7:34:45 AM	mahoonie    	I'm not mad if you want to step back for the top
269	August 3rd	7:35:09 AM	AshleyReyes1	what does it mean?
270	August 3rd	7:35:10 AM	AshleyReyes1	sorry
271	August 3rd	7:35:26 AM	mahoonie    	You said you need to step back to put the bra
272	August 3rd	7:35:35 AM	mahoonie    	You can do that if you want
273	August 3rd	7:35:36 AM	AshleyReyes1	oh yes
274	August 3rd	7:35:46 AM	AshleyReyes1	do you want?
275	August 3rd	7:35:52 AM	mahoonie    	Very much
276	August 3rd	7:35:56 AM	AshleyReyes1	okay
277	August 3rd	7:36:00 AM	AshleyReyes1	wait please
278	August 3rd	7:36:07 AM	mahoonie    	As much as it takes
279	August 3rd	7:37:00 AM	mahoonie    	Wow
280	August 3rd	7:37:05 AM	AshleyReyes1	so
281	August 3rd	7:37:24 AM	AshleyReyes1	wow
282	August 3rd	7:37:45 AM	AshleyReyes1	oh
283	August 3rd	7:37:58 AM	mahoonie    	I’m ready
284	August 3rd	7:38:02 AM	AshleyReyes1	good
285	August 3rd	7:38:17 AM	AshleyReyes1	I like it
286	August 3rd	7:38:42 AM	mahoonie    	Play with yourself for me
287	August 3rd	7:38:47 AM	AshleyReyes1	yes
288	August 3rd	7:39:45 AM	AshleyReyes1	so fat dick
289	August 3rd	7:40:08 AM	mahoonie    	It’s longer than it is fat
290	August 3rd	7:41:06 AM	mahoonie    	Can you go back just a lot
291	August 3rd	7:41:11 AM	mahoonie    	A little
292	August 3rd	7:41:22 AM	AshleyReyes1	how?
293	August 3rd	7:41:40 AM	mahoonie    	Backwards with the chair
294	August 3rd	7:44:45 AM	AshleyReyes1	i'm close
295	August 3rd	7:44:48 AM	AshleyReyes1	sorry
296	August 3rd	7:45:08 AM	mahoonie    	I can finish whenever you say
297	August 3rd	7:45:15 AM	AshleyReyes1	wow
298	August 3rd	7:45:17 AM	AshleyReyes1	so
299	August 3rd	7:45:21 AM	AshleyReyes1	now
300	August 3rd	7:45:35 AM	mahoonie    	You first
301	August 3rd	7:46:43 AM	AshleyReyes1	sooo
302	August 3rd	7:46:49 AM	AshleyReyes1	and youuu
303	August 3rd	7:47:58 AM	AshleyReyes1	gooood
304	August 3rd	7:48:01 AM	AshleyReyes1	thank you
305	August 3rd	7:48:14 AM	AshleyReyes1	thank you, beautiful man
306	August 3rd	7:48:27 AM	mahoonie    	Thank you beautiful woman!!!
307	August 3rd	7:48:31 AM	AshleyReyes1	:heart:
308	August 5th	7:48:33 AM	AshleyReyes1	byeAugust 5th
309	August 5th	7:14:11 AM	mahoonie    	Love the glasses, even though I prefer your beautiful face
310	August 5th	7:14:54 AM	AshleyReyes1	thanks
311	August 5th	7:16:12 AM	mahoonie    	How are you?
312	August 5th	7:26:47 AM	AshleyReyes1	I'm good and you?
313	August 5th	7:28:18 AM	mahoonie    	Good, it’s my birthday, so a bit sad, but it’ll pass
314	August 5th	7:30:51 AM	AshleyReyes1	woow
315	August 5th	7:31:04 AM	AshleyReyes1	happy birthday, beautiful boy!
316	August 5th	7:31:20 AM	AshleyReyes1	why are you sad? and how old are you?
317	August 5th	7:31:24 AM	mahoonie    	Thank you beautiful girl
318	August 5th	7:31:39 AM	mahoonie    	I don’t want to talk about it...
319	August 5th	7:31:58 AM	mahoonie    	But I’m old enough to be sad about birthdays
320	August 5th	7:32:05 AM	mahoonie    	How old are you?
321	August 5th	7:32:12 AM	AshleyReyes1	18
322	August 5th	7:32:20 AM	mahoonie    	Really?
323	August 5th	7:32:29 AM	AshleyReyes1	yes
324	August 5th	7:32:34 AM	AshleyReyes1	you didn't tell me how old you were today
325	August 5th	7:32:50 AM	mahoonie    	You look so mature...
326	August 5th	7:32:59 AM	mahoonie    	I’m like twice that
327	August 5th	7:33:00 AM	AshleyReyes1	yes
328	August 5th	7:33:12 AM	AshleyReyes1	is it true?
329	August 5th	7:33:23 AM	mahoonie    	Didn’t you say you study psychology?
330	August 5th	7:33:35 AM	mahoonie    	You’re supposed to be in high school
331	August 5th	7:33:56 AM	AshleyReyes1	no, I just got in
332	August 5th	7:34:16 AM	mahoonie    	Congrats!
333	August 5th	7:34:30 AM	AshleyReyes1	thanks
334	August 5th	7:34:44 AM	AshleyReyes1	so you're 38? hahah
335	August 5th	7:34:54 AM	AshleyReyes1	you look about 30 years old
336	August 5th	7:35:16 AM	mahoonie    	36
337	August 5th	7:35:21 AM	mahoonie    	I’m 30
338	August 5th	7:35:32 AM	mahoonie    	With a few years of experience
339	August 5th	7:35:46 AM	AshleyReyes1	I'm confused!
340	August 5th	7:35:50 AM	AshleyReyes1	30 or 36?
341	August 5th	7:36:07 AM	AshleyReyes1	it only matters if you have an anniversary or not
342	August 5th	7:36:08 AM	AshleyReyes1	hahahah
343	August 5th	7:36:16 AM	mahoonie    	30 + 6 years of experience = 36
344	August 5th	7:36:48 AM	AshleyReyes1	okay
345	August 5th	7:36:57 AM	AshleyReyes1	the interview is over
346	August 5th	7:37:05 AM	AshleyReyes1	interrogation
347	August 5th	7:37:21 AM	mahoonie    	Yeah, my grandma was born in April 29, so she never got old
348	August 5th	7:37:38 AM	mahoonie    	Only one birthday every 4 years
349	August 5th	7:37:44 AM	mahoonie    	That’s the best
350	August 5th	7:38:26 AM	AshleyReyes1	in February you wanted to say?
351	August 5th	7:38:33 AM	mahoonie    	Yes
352	August 5th	7:39:21 AM	mahoonie    	Anniversary you mean birthday?
353	August 5th	7:39:59 AM	AshleyReyes1	yes
354	August 5th	7:41:53 AM	mahoonie    	You keep disappearing
355	August 5th	7:42:54 AM	AshleyReyes1	I'm here
356	August 5th	7:46:02 AM	mahoonie    	They say anniversarie in French
357	August 5th	7:46:21 AM	AshleyReyes1	good
358	August 5th	7:46:23 AM	mahoonie    	anniversaire
359	August 5th	7:46:43 AM	mahoonie    	Parle vous francais?
360	August 5th	7:46:53 AM	AshleyReyes1	no
361	August 5th	7:47:16 AM	mahoonie    	How did you answer then
362	August 5th	7:47:20 AM	mahoonie    	Busted
363	August 5th	7:47:23 AM	mahoonie    	:)
364	August 5th	7:47:26 AM	AshleyReyes1	hahahah
365	August 5th	7:47:34 AM	AshleyReyes1	I have a translator
366	August 5th	7:47:46 AM	AshleyReyes1	I'm trying to fit in with everyone
367	August 5th	7:49:39 AM	mahoonie    	Good excuse
368	August 5th	7:49:50 AM	mahoonie    	Can you do Hebrew?
369	August 5th	7:49:57 AM	AshleyReyes1	no
370	August 5th	7:50:31 AM	mahoonie    	יפיפיה
371	August 5th	7:50:56 AM	mahoonie    	That’s “beautiful”
372	August 5th	7:50:58 AM	AshleyReyes1	baby?
373	August 5th	7:51:01 AM	AshleyReyes1	aaah
374	August 5th	7:51:07 AM	AshleyReyes1	hahah
375	August 5th	7:51:30 AM	mahoonie    	Though you are a baby compared to me
376	August 5th	7:51:46 AM	AshleyReyes1	ooh
377	August 5th	7:51:48 AM	AshleyReyes1	daddy
378	August 5th	7:51:58 AM	AshleyReyes1	are you disappointed?
379	August 5th	7:52:22 AM	mahoonie    	Ummm, are you?
380	August 5th	7:53:05 AM	AshleyReyes1	not at all, you're a fine man
381	August 5th	7:53:19 AM	mahoonie    	Than I don’t care
382	August 5th	7:53:30 AM	mahoonie    	Then
383	August 5th	7:54:52 AM	mahoonie    	How’s your day going?
384	August 5th	7:55:14 AM	AshleyReyes1	very nice, your?
385	August 5th	7:55:46 AM	mahoonie    	Could be better, I didn’t plan for my birthday so now I need to work
386	August 5th	7:56:44 AM	AshleyReyes1	nice to see you here, happy Birthday again!
387	August 5th	7:57:38 AM	mahoonie    	Thank you
388	August 5th	7:59:50 AM	mahoonie    	Always nice to see you here too
389	August 5th	8:00:04 AM	mahoonie    	When is yours btw?
390	August 5th	8:00:58 AM	AshleyReyes1	it was June 30
391	August 5th	8:01:47 AM	mahoonie    	Happy belated birthday
392	August 5th	8:03:59 AM	AshleyReyes1	thank you
393	August 5th	8:05:49 AM	mahoonie    	How did you celebrate?
394	August 5th	8:06:24 AM	AshleyReyes1	very fun, I flew a friend with whom we have not seen for a long time
395	August 5th	8:06:52 AM	mahoonie    	Where did you fly?
396	August 5th	8:07:29 AM	AshleyReyes1	my friend, not me
397	August 5th	8:07:30 AM	AshleyReyes1	ops
398	August 5th	8:07:44 AM	mahoonie    	Oh, cool
399	August 5th	8:20:07 AM	mahoonie    	Wow, do you take your top off?
400	August 5th	8:20:42 AM	AshleyReyes1	yes
401	August 5th	8:20:46 AM	AshleyReyes1	hehe
402	August 5th	8:20:52 AM	mahoonie    	Wow
403	August 5th	8:21:41 AM	mahoonie    	You’re perfect
404	August 5th	8:21:47 AM	AshleyReyes1	thank you
405	August 5th	8:22:41 AM	mahoonie    	I really want to c2c you again, but I can’t every day, not a healthy habit
406	August 5th	8:23:20 AM	AshleyReyes1	hahaah yes
407	August 5th	8:23:41 AM	AshleyReyes1	I'm glad you want to spend time with me and I understand you
408	August 5th	8:24:34 AM	mahoonie    	But next time I want the top off :P
409	August 5th	8:24:54 AM	AshleyReyes1	yes ;)
410	August 5th	8:25:23 AM	mahoonie    	And one day maybe bottom
411	August 5th	8:25:47 AM	AshleyReyes1	what?
412	August 5th	8:26:06 AM	mahoonie    	One day maybe bottom off too
413	August 5th	8:26:26 AM	AshleyReyes1	we'll see :)
414	August 5th	8:26:38 AM	mahoonie    	<3
415	August 5th	8:26:51 AM	mahoonie    	When you’re old enough
416	August 5th	8:27:09 AM	AshleyReyes1	hehehe
417	August 5th	8:27:25 AM	AshleyReyes1	I really like that you're careful with this
418	August 5th	8:27:40 AM	AshleyReyes1	and it turns me on damn it
419	August 5th	8:27:54 AM	AshleyReyes1	like most girls at this age
420	August 5th	8:28:07 AM	mahoonie    	Man you’re such a good flirt
421	August 5th	8:28:55 AM	AshleyReyes1	I don't want it to be a flirt, I say what I feel
422	August 5th	8:29:22 AM	mahoonie    	You’re awesome is all I’m saying
423	August 10th	8:30:38 AM	mahoonie    	Gotta go, hope to see you soonAugust 10th
424	August 10th	6:53:23 AM	mahoonie    	Good morning beautiful
425	August 10th	6:55:40 AM	AshleyReyes1	hi :)
426	August 10th	6:56:09 AM	mahoonie    	How are you?
427	August 10th	6:57:33 AM	AshleyReyes1	I'm fine, thanks
428	August 10th	6:57:36 AM	AshleyReyes1	and you?
429	August 10th	6:57:57 AM	mahoonie    	Pretty good
430	August 10th	6:58:12 AM	mahoonie    	Just got back to the US yesterday
431	August 10th	6:58:21 AM	mahoonie    	So a bit jet lagged
432	August 10th	6:58:30 AM	mahoonie    	It’s 7 am here
433	August 10th	6:59:13 AM	AshleyReyes1	oh
434	August 10th	6:59:29 AM	AshleyReyes1	where have you been?
